session_id,avg_hour,event_count,avg_ram,max_ram,cluster
1,13.826771653543307,127,1308.2283464566929,2500,2
2,13.219827586206897,232,717.0,717,1
3,5.0,6,717.0,717,3
4,6.0,5,717.0,717,3
5,6.444444444444445,9,717.0,717,3
6,7.944444444444445,18,717.0,717,3
7,9.814814814814815,27,717.0,717,3
8,11.0,2,717.0,717,0
9,12.0,6,717.0,717,0
10,13.0,2,717.0,717,0
11,13.0,2,717.0,717,0
12,14.0,5,717.0,717,0
13,14.0,1,717.0,717,0
14,15.0,2,717.0,717,0
15,15.0,1,717.0,717,0
16,15.0,1,717.0,717,0
17,16.0,2,717.0,717,0
18,17.133333333333333,15,717.0,717,0
19,19.0,2,717.0,717,0
20,19.5,4,717.0,717,0
21,20.0,2,717.0,717,0
22,20.75,4,717.0,717,0
23,21.0,1,717.0,717,0
24,22.0,2,717.0,717,0
25,22.0,1,717.0,717,0
26,23.0,2,717.0,717,0
27,23.0,1,717.0,717,0
28,0.0,1,717.0,717,3
29,0.0,3,717.0,717,3
30,1.0,1,717.0,717,3
31,2.0,3,717.0,717,3
32,2.0,1,717.0,717,3
33,3.0,2,717.0,717,3
34,4.0,4,717.0,717,3
35,5.0,3,717.0,717,3
